# !  MKO filter system                                                                                                                                                                                    



#   t (Gyr) =  0.001
#---------------------------------------------------------------------------------------------------------------------------

age_Gyr  M_Msun   Teff(K)   L/Ls  lg(g)   R(Gm)   D      Li            J             H            Ks        Lprime             M'          
0.003  0.8000  3731.   -0.27   3.85  12.29  0.0000  0.9950         3.697         2.969         2.768         2.615         2.715  
0.003  0.8500  3764.   -0.23   3.85  12.60  0.0000  0.9920         3.614         2.885         2.690         2.545         2.648  
0.003  0.9000  3796.   -0.21   3.86  12.81  0.0000  0.9890         3.554         2.823         2.633         2.495         2.602  
0.003  0.9500  3828.   -0.16   3.85  13.29  0.0000  0.9900         3.446         2.715         2.530         2.400         2.510  
0.003  1.0000  3863.   -0.13   3.86  13.49  0.0000  0.9890         3.385         2.656         2.475         2.352         2.464  
0.003  1.0500  3893.   -0.10   3.86  13.83  0.0000  0.9910         3.305         2.576         2.401         2.284         2.398  
0.003  1.1000  3972.   -0.04   3.86  14.14  0.0000  0.9920         3.191         2.471         2.307         2.205         2.326  
0.003  1.1500  4032.   -0.01   3.87  14.28  0.0000  0.9910         3.119         2.408         2.253         2.160         2.284  
0.003  1.2000  4075.    0.02   3.88  14.49  0.0000  0.9920         3.051         2.349         2.199         2.112         2.236  
0.003  1.3000  4156.    0.08   3.89  14.92  0.0000  0.9940         2.928         2.234         2.096         2.023         2.150  
0.003  1.4000  4231.    0.14   3.90  15.37  0.0000  0.9950         2.809         2.128         1.999         1.936         2.064  
0.004  0.0030  1160.   -4.43   3.55   1.05  1.0000  1.0000        16.018        14.281        12.850        10.995        10.782  
0.004  0.0040  1327.   -4.17   3.65   1.09  1.0000  1.0000        14.735        13.259        12.011        10.324        10.318  
0.004  0.0050  1490.   -3.94   3.72   1.13  1.0000  1.0000        13.360        12.251        11.267         9.919         9.986  
0.004  0.0060  1626.   -3.76   3.77   1.17  1.0000  1.0000        12.514        11.718        10.876         9.734         9.737  
